"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\firebase_options.dart", "Dart", 74, 12, 7, 93
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\main.dart", "Dart", 491, 28, 44, 563
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\chat_message.dart", "Dart", 103, 5, 9, 117
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\chat_messageai.dart", "Dart", 11, 1, 5, 17
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\job.dart", "Dart", 242, 20, 18, 280
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\review.dart", "Dart", 40, 0, 4, 44
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\user.dart", "Dart", 159, 6, 14, 179
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\models\worker.dart", "Dart", 136, 11, 14, 161
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\providers\locale_provider.dart", "Dart", 84, 43, 17, 144
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\providers\theme_provider.dart", "Dart", 53, 6, 9, 68
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\auth\forgot_password_screen.dart", "Dart", 191, 3, 13, 207
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\auth\login_screen.dart", "Dart", 818, 24, 58, 900
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\auth\register_screen.dart", "Dart", 1482, 45, 51, 1578
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\auth\skills.dart", "Dart", 15, 1, 1, 17
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\chat\chat_list_pane.dart", "Dart", 629, 5, 49, 683
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\chat\conversation_pane.dart", "Dart", 2517, 29, 173, 2719
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\chat_screen.dart", "Dart", 148, 14, 14, 176
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\home\home_layout.dart", "Dart", 15, 9, 4, 28
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\home\home_screen_web.dart", "Dart", 1592, 13, 65, 1670
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\home_screen.dart", "Dart", 3467, 82, 155, 3704
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\jobs\create_job_screen.dart", "Dart", 1668, 20, 56, 1744
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\jobs\job_dashboard_screen.dart", "Dart", 2520, 92, 123, 2735
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\jobs\job_detail_screen.dart", "Dart", 1702, 13, 75, 1790
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\jobs\quick_job_request_screen.dart", "Dart", 515, 13, 29, 557
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\notifications_screen.dart", "Dart", 2217, 21, 119, 2357
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\payment\config.dart", "Dart", 14, 2, 2, 18
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\payment\managepayment.dart", "Dart", 53, 22, 10, 85
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\payment\payment_screen.dart", "Dart", 456, 7, 38, 501
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\payment\telebirr_api_service.dart", "Dart", 227, 10, 37, 274
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\professional\professional_setup_screen.dart", "Dart", 0, 0, 2, 2
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\professional_setup_edit.dart", "Dart", 1978, 20, 96, 2094
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\professional_setup_screen.dart", "Dart", 1449, 12, 54, 1515
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\profile_screen.dart", "Dart", 1323, 189, 76, 1588
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\widgets\ai_chat_panel.dart", "Dart", 927, 26, 68, 1021
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\worker_detail_screen.dart", "Dart", 2925, 121, 167, 3213
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\screens\worker_detail_screenmodel1.dart", "Dart", 1112, 97, 70, 1279
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\ai_chat_service.dart", "Dart", 551, 3, 50, 604
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\app_string.dart", "Dart", 4502, 136, 154, 4792
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\auth_service.dart", "Dart", 325, 41, 50, 416
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\firebase_service.dart", "Dart", 2664, 209, 349, 3222
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\gemini_service.dart", "Dart", 27, 5, 7, 39
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\services\notification_service.dart", "Dart", 160, 25, 22, 207
"c:\Users\biruk\Desktop\flutter-projects\finalend\lib\theme\light_colors.dart", "Dart", 548, 54, 38, 640
"Total", "-", 40130, 1495, 2416, 44041